Year ending September,Area name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Death or serious injury - unlawful driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Population mid-year estim
2023,Cleveland,82074,30489,13,22,7459,10970,12025,2670,918,23867,5109,4073,1036,4492,453,695,7606,5512,10333,2474,706,8481,2136,
2023,Durham,67739,26915,7,11,5703,10527,10667,2438,228,17298,3123,2242,881,2776,158,439,6497,4305,9585,1482,465,7382,1946,
2023,Northumbria,146729,54081,18,12,17351,18327,18373,5036,1108,45050,6255,4232,2023,9537,1057,1449,14152,12600,18588,3232,1465,14590,3579,
2023,North West,766158,308799,73,177,75726,120303,112520,25822,7900,198577,36105,25361,10744,41672,10678,6943,42372,60807,73345,31949,9084,92148,18534,
2023,Cheshire,82871,36735,5,9,9462,12976,14283,3678,416,18565,3118,2315,803,2616,352,944,5593,5942,7035,3021,809,10655,1957,
2023,Cumbria,36967,16052,2,31,4755,5990,5274,1611,164,7598,1405,838,567,978,129,226,2034,2826,4685,1457,520,4053,827,
2023,Greater Manchester,361191,138103,36,69,30027,53211,54760,11639,5024,100563,18687,13393,5294,23182,7453,3130,17182,30929,32016,13302,4829,46144,9571,
2023,Lancashire,126165,52853,17,10,16705,19912,16209,4534,1068,37622,7208,4705,2503,7913,774,1267,9653,10807,14919,2645,1662,8029,2833,
2023,Merseyside,158964,65056,13,58,14777,28214,21994,4360,1228,34229,5687,4110,1577,6983,1970,1376,7910,10303,14690,11524,1264,23267,3346,
2023,Yorkshire and The Humber,618986,248363,58,139,62756,89823,95587,19852,6360,173903,35079,25435,9644,35477,5158,5949,46948,45292,60602,16314,5727,71580,16285,
2023,Humberside,103315,41428,15,10,11849,13613,15941,3509,921,27637,5666,4280,1386,3571,459,1747,8809,7385,11362,1496,732,13596,2634,
2023,North Yorkshire,49174,20311,3,6,6183,8463,5656,2215,223,14102,2295,1347,948,1929,262,1153,4386,4077,5284,1388,422,4269,960,
2023,South Yorkshire,159448,56669,17,17,16501,19878,20256,4552,2045,50884,11701,8895,2806,12759,1090,892,12715,11727,16902,4610,2112,16492,5182,
2023,West Yorkshire,307049,129955,23,106,28223,47869,53734,9576,3171,81280,15417,10913,4504,17218,3347,2157,21038,22103,27054,8820,2461,37223,7509,
2023,East Midlands,419236,161865,55,63,47529,59895,54323,16103,3832,124795,20540,14272,6268,24038,3069,5011,36601,35536,42202,13457,4927,41368,10687,
2023,Derbyshire,90181,37258,13,17,9249,14654,13325,3456,785,23899,4185,2974,1211,4804,673,684,6136,7417,8714,2173,945,10939,2012,
2023,Leicestershire,103806,39808,14,8,13797,12025,13964,3860,830,29204,5127,3498,1629,6763,860,1615,5496,9343,10622,3422,877,12698,2485,
2023,Lincolnshire,57234,23014,9,9,6775,8709,7512,2488,374,17174,3276,2232,1044,2404,163,798,5811,4722,5923,1638,610,4504,1509,
2023,Northamptonshire,62116,26395,7,9,7149,10618,8612,2742,800,17604,3099,2104,995,4096,324,531,4331,5223,5600,2140,938,4149,1748,
2023,Nottinghamshire,105899,35390,12,20,10559,13889,10910,3557,1043,36914,4853,3464,1389,5971,1049,1383,14827,8831,11343,4084,1557,9078,2933,
2023,West Midlands Region,572937,233851,70,150,65348,88793,79490,19478,10573,178688,32227,23048,9179,52306,5387,4477,39508,44783,48544,12896,9669,48176,11062,
2023,Staffordshire,91057,40829,9,8,11613,11353,17846,3450,854,24515,4293,2896,1397,5818,407,940,5739,7318,8324,1861,944,8342,1938,
2023,Warwickshire,40775,15120,5,22,4754,5784,4555,1626,392,13790,2357,1535,822,4431,293,466,2673,3570,3790,1038,675,3383,961,
2023,West Mercia,91994,36196,12,79,11012,12982,12111,3913,644,28766,5120,3491,1629,4859,421,806,9435,8125,8516,2143,1066,8807,1943,
2023,West Midlands,349111,141706,44,41,37969,58674,44978,10489,8683,111617,20457,15126,5331,37198,4266,2265,21661,25770,27914,7854,6984,27644,6220,
2023,East,466102,180863,50,247,48463,81825,50278,18280,4031,146245,20510,13729,6781,35563,4329,6864,37174,41805,44646,14983,5332,40706,11016,
2023,Bedfordshire,49399,17551,13,44,4766,7849,4879,1704,541,17134,2344,1505,839,5016,517,626,3896,4735,4266,1819,638,4644,1102,
2023,Cambridgeshire,72045,25689,8,69,5699,12501,7412,2622,669,24036,3600,2207,1393,5098,874,2247,5813,6404,7165,1785,830,7382,1867,
2023,Essex,158208,63705,17,38,14958,28169,20523,5828,1548,48178,6973,5135,1838,14173,1167,1529,11098,13238,13978,5649,1800,14088,3434,
2023,Hertfordshire,75959,26272,4,63,8547,12141,5517,2474,702,30668,3825,2549,1276,7558,1017,1026,8276,8966,7379,2152,611,4223,1478,
2023,Norfolk,62540,27270,3,24,8286,11851,7106,3095,326,14333,1919,1209,710,1712,402,875,4589,4836,6849,2103,842,5932,1790,
2023,Suffolk,47951,20376,5,9,6207,9314,4841,2557,245,11896,1849,1124,725,2006,352,561,3502,3626,5009,1475,611,4437,1345,
2023,London,914781,248169,117,97,79224,107241,61490,24704,32325,434547,56343,38009,18334,105629,67827,16408,53202,135138,56040,40930,6290,59982,11794,
2023,City of London,7496,1147,0,0,325,662,160,169,131,4438,312,21,291,131,1178,172,766,1879,260,576,67,523,185,
2023,Metropolitan Police,907285,247022,117,97,78899,106579,61330,24535,32194,430109,56031,37988,18043,105498,66649,16236,52436,133259,55780,40354,6223,59459,11609,
2023,South East,734062,289155,59,169,78358,119830,90739,27838,5351,220901,30992,20646,10346,50473,6993,9825,61475,61143,72076,23488,8665,70102,16486,
